Date,Rented Bike Count,Hour,Temperature (C),Humidity (%),Wind speed (m/s),Visibility (10m),Dew point temperature (C),Solar Radiation (MJ/m2),Rainfall (mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2017-12-01,254,0,-5.2,37.0,2.2,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,204,1,-5.5,38.0,0.8,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,173,2,-6.0,39.0,1.0,2000.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,107,3,-6.2,40.0,0.9,2000.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,78,4,-6.0,36.0,2.3,2000.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,100,5,-6.4,37.0,1.5,2000.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,181,6,-6.6,35.0,1.3,2000.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,460,7,-7.4,38.0,0.9,2000.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,930,8,-7.6,37.0,1.1,2000.0,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,490,9,-6.5,27.0,0.5,1928.0,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,339,10,-3.5,24.0,1.2,1996.0,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,360,11,-0.5,21.0,1.3,1936.0,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,449,12,1.7,23.0,1.4,2000.0,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,451,13,2.4,25.0,1.6,2000.0,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,447,14,3.0,26.0,2.0,2000.0,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,463,15,2.1,36.0,3.2,2000.0,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,484,16,1.2,54.0,4.2,793.0,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,555,17,0.8,58.0,1.6,2000.0,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,862,18,0.6,66.0,1.4,2000.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,600,19,0.0,77.0,1.7,2000.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-01,426,20,-0.3,79.0,1.5,1913.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
